Exterior;/sitRep/reportingLocation/EDXLGeoLocation/polygon/exterior;.
LinearRing;/sitRep/reportingLocation/EDXLGeoLocation/polygon/exterior/linearRing;.
Pos;/sitRep/reportingLocation/EDXLGeoLocation/polygon/exterior/linearRing/pos;.
Pos;/sitRep/reportingLocation/EDXLGeoLocation/polygon/exterior/linearRing/pos;.
Pos;/sitRep/reportingLocation/EDXLGeoLocation/polygon/exterior/linearRing/pos;.
Pos;/sitRep/reportingLocation/EDXLGeoLocation/polygon/exterior/linearRing/pos;.
Envelope;/sitRep/reportingLocation/EDXLGeoLocation/envelope;.
LowerCorner;/sitRep/reportingLocation/EDXLGeoLocation/envelope/lowerCorner;.
UpperCorner;/sitRep/reportingLocation/EDXLGeoLocation/envelope/upperCorner;.
LineString;/sitRep/reportingLocation/EDXLGeoLocation/lineString;.
Pos;/sitRep/reportingLocation/EDXLGeoLocation/lineString/pos;.
Pos;/sitRep/reportingLocation/EDXLGeoLocation/lineString/pos;.
EDXLGeoPoliticalLocation;/sitRep/reportingLocation/EDXLGeoPoliticalLocation;.
Address;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address;.
FreeTextAddress;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/freeTextAddress;.
AddressLine;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/freeTextAddress/addressLine;.
Country;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/country;.
NameElement;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/country/nameElement;.
AdministrativeArea;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/administrativeArea;.
NameElement;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/administrativeArea/nameElement;.
SubAdministrativeArea;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/administrativeArea/subAdministrativeArea;.
NameElement;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/administrativeArea/subAdministrativeArea/nameElement;.
Locality;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/locality;.
NameElement;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/locality/nameElement;.
SubLocality;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/locality/subLocality;.
NameElement;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/locality/subLocality/nameElement;.
Thoroughfare;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/thoroughfare;.
NameElement;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/thoroughfare/nameElement;.
PostCode;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/postCode;.
Identifier;/sitRep/reportingLocation/EDXLGeoPoliticalLocation/address/postCode/identifier;.
ActionPlan;/sitRep/actionPlan;.
NextContact;/sitRep/nextContact;.
Report;/sitRep/report;.
Extension;/sitRep/report/extension;.
Community;/sitRep/report/extension/community;.
Id;/sitRep/report/extension/id;.
Parameter;/sitRep/report/extension/parameter;.
NameURI;/sitRep/report/extension/parameter/nameURI;.
Value;/sitRep/report/extension/parameter/value;.
ResourceTotal;/sitRep/report/resourceTotal;.
BranchDivisionGroup;/sitRep/report/resourceTotal/branchDivisionGroup;.
Resource;/sitRep/report/resourceTotal/resource;.
AgencyOrganization;/sitRep/report/resourceTotal/resource/agencyOrganization;.
ResourceName;/sitRep/report/resourceTotal/resource/resourceName;.
ResourceTypeCategoryKind;/sitRep/report/resourceTotal/resource/resourceTypeCategoryKind;.
ValueListURI;/sitRep/report/resourceTotal/resource/resourceTypeCategoryKind/valueListURI;.
Value;/sitRep/report/resourceTotal/resource/resourceTypeCategoryKind/value;.
ResourceDetail;/sitRep/report/resourceTotal/resource/resourceDetail;.
ResourcePersonnelCount;/sitRep/report/resourceTotal/resource/resourceDetail/resourcePersonnelCount;.
UnassignedResourcePersonnel;/sitRep/report/resourceTotal/resource/resourceDetail/unassignedResourcePersonnel;.
ResourceRequiredCount;/sitRep/report/resourceTotal/resource/resourceDetail/resourceRequiredCount;.
ResourceCommittedCount;/sitRep/report/resourceTotal/resource/resourceDetail/resourceCommittedCount;.
ResourceOnHandCount;/sitRep/report/resourceTotal/resource/resourceDetail/resourceOnHandCount;.
ResourceStillNeededCount;/sitRep/report/resourceTotal/resource/resourceDetail/resourceStillNeededCount;.
ResourceRequestedCount;/sitRep/report/resourceTotal/resource/resourceDetail/resourceRequestedCount;.
DateTimeOrdered;/sitRep/report/resourceTotal/resource/resourceDetail/dateTimeOrdered;.
RequestedArrival;/sitRep/report/resourceTotal/resource/resourceDetail/requestedArrival;.
EstimatedArrival;/sitRep/report/resourceTotal/resource/resourceDetail/estimatedArrival;.
ReportToLocation;/sitRep/report/resourceTotal/resource/resourceDetail/reportToLocation;.
EDXLGeoLocation;/sitRep/report/resourceTotal/resource/resourceDetail/reportToLocation/EDXLGeoLocation;.
Envelope;/sitRep/report/resourceTotal/resource/resourceDetail/reportToLocation/EDXLGeoLocation/envelope;.
LowerCorner;/sitRep/report/resourceTotal/resource/resourceDetail/reportToLocation/EDXLGeoLocation/envelope/lowerCorner;.
UpperCorner;/sitRep/report/resourceTotal/resource/resourceDetail/reportToLocation/EDXLGeoLocation/envelope/upperCorner;.
EDXLGeoPoliticalLocation;/sitRep/report/resourceTotal/resource/resourceDetail/reportToLocation/EDXLGeoPoliticalLocation;.
Address;/sitRep/report/resourceTotal/resource/resourceDetail/reportToLocation/EDXLGeoPoliticalLocation/address;.
GeoCode;/sitRep/report/resourceTotal/resource/resourceDetail/reportToLocation/EDXLGeoPoliticalLocation/geoCode;.
ValueListURI;/sitRep/report/resourceTotal/resource/resourceDetail/reportToLocation/EDXLGeoPoliticalLocation/geoCode/valueListURI;.
Value;/sitRep/report/resourceTotal/resource/resourceDetail/reportToLocation/EDXLGeoPoliticalLocation/geoCode/value;.
OverheadPosition;/sitRep/report/resourceTotal/resource/resourceDetail/overheadPosition;.
ValueKeyURI;/sitRep/report/resourceTotal/resource/resourceDetail/overheadPosition/valueKeyURI;.
ValueListURI;/sitRep/report/resourceTotal/resource/resourceDetail/overheadPosition/valueKeyURI/valueListURI;.
Value;/sitRep/report/resourceTotal/resource/resourceDetail/overheadPosition/valueKeyURI/value;.
PairValue;/sitRep/report/resourceTotal/resource/resourceDetail/overheadPosition/pairValue;.
WorkAssignment;/sitRep/report/resourceTotal/resource/resourceDetail/workAssignment;.
SpecialInstructions;/sitRep/report/resourceTotal/resource/resourceDetail/specialInstructions;.
SpecialEquipmentAndSupplies;/sitRep/report/resourceTotal/resource/resourceDetail/specialEquipmentAndSupplies;.
AdditionalAssistingOrganizations;/sitRep/report/resourceTotal/resource/resourceDetail/additionalAssistingOrganizations;.
ResourceStatus;/sitRep/report/resourceTotal/resource/resourceDetail/resourceStatus;.
InventoryRefreshDateTime;/sitRep/report/resourceTotal/resource/resourceDetail/resourceStatus/inventoryRefreshDateTime;.
Availability;/sitRep/report/resourceTotal/resource/resourceDetail/resourceStatus/availability;.
IsSufficient;/sitRep/report/resourceTotal/resource/isSufficient;.
OrganizationAndAssignments;/sitRep/report/organizationAndAssignments;.
CommandStructure;/sitRep/report/organizationAndAssignments/commandStructure;.
PositionTitle;/sitRep/report/organizationAndAssignments/positionTitle;.
PersonName;/sitRep/report/organizationAndAssignments/personName;.
PersonName;/sitRep/report/organizationAndAssignments/personName/personName;.
NameElement;/sitRep/report/organizationAndAssignments/personName/personName/nameElement;.
Addresses;/sitRep/report/organizationAndAssignments/personName/addresses;.
Address;/sitRep/report/organizationAndAssignments/personName/addresses/address;.
ContactNumbers;/sitRep/report/organizationAndAssignments/personName/contactNumbers;.
ContactNumber;/sitRep/report/organizationAndAssignments/personName/contactNumbers/contactNumber;.
ElectronicAddressIdentifiers;/sitRep/report/organizationAndAssignments/personName/electronicAddressIdentifiers;.
ElectronicAddressIdentifier;/sitRep/report/organizationAndAssignments/personName/electronicAddressIdentifiers/electronicAddressIdentifier;.
Identifiers;/sitRep/report/organizationAndAssignments/personName/identifiers;.
Identifier;/sitRep/report/organizationAndAssignments/personName/identifiers/identifier;.
Branch;/sitRep/report/organizationAndAssignments/branch;.
ValueListURI;/sitRep/report/organizationAndAssignments/branch/valueListURI;.
Value;/sitRep/report/organizationAndAssignments/branch/value;.
ReportsToPositionTitle;/sitRep/report/organizationAndAssignments/reportsToPositionTitle;.
ReportsToPersonName;/sitRep/report/organizationAndAssignments/reportsToPersonName;.
PersonName;/sitRep/report/organizationAndAssignments/reportsToPersonName/personName;.
NameElement;/sitRep/report/organizationAndAssignments/reportsToPersonName/personName/nameElement;.
Addresses;/sitRep/report/organizationAndAssignments/reportsToPersonName/addresses;.
Address;/sitRep/report/organizationAndAssignments/reportsToPersonName/addresses/address;.
ContactNumbers;/sitRep/report/organizationAndAssignments/reportsToPersonName/contactNumbers;.
ContactNumber;/sitRep/report/organizationAndAssignments/reportsToPersonName/contactNumbers/contactNumber;.
ElectronicAddressIdentifiers;/sitRep/report/organizationAndAssignments/reportsToPersonName/electronicAddressIdentifiers;.
ElectronicAddressIdentifier;/sitRep/report/organizationAndAssignments/reportsToPersonName/electronicAddressIdentifiers/electronicAddressIdentifier;.
Identifiers;/sitRep/report/organizationAndAssignments/reportsToPersonName/identifiers;.
Identifier;/sitRep/report/organizationAndAssignments/reportsToPersonName/identifiers/identifier;.
ReportsToAgency;/sitRep/report/organizationAndAssignments/reportsToAgency;.
ValueListURI;/sitRep/report/organizationAndAssignments/reportsToAgency/valueListURI;.
Value;/sitRep/report/organizationAndAssignments/reportsToAgency/value;.
ReportsToBranch;/sitRep/report/organizationAndAssignments/reportsToBranch;.
ValueListURI;/sitRep/report/organizationAndAssignments/reportsToBranch/valueListURI;.
Value;/sitRep/report/organizationAndAssignments/reportsToBranch/value;.
